year,state,measure,topic,yes_pct,no_pct,outcome
2024,Nebraska,Citizens,Approved,Initiative 437,Legalizes the use of up to five ounces of marijuana for medical use by qualified patients.,Approved
2024,North Dakota,Legislature,Failed,Constitutional Measure 5,"Legalizes production, processing, and sale of marijuana for recreational use for adults 21 and older",Failed
2024,South Dakota,Citizens,Failed,Initiated Measure 29,"Legalizes the possession of, distribution and recreational usage of marijuana for adults 21 or older",Failed
2024,Alaska,Citizens,Failed,Ballot Measure 2,Repeals the state's top-four primaries and ranked-choice elections.,Failed
2024,Arizona,Legislature,Failed,Proposition 133,Prohibits nonpartisan primaries .,Failed
2024,Citizens,Failed,Proposition 140,"Requires majority vote to be used in general elections, and creates nonpartisan primaries.",58.7-41.3,Failed
2024,Colorado,Citizens,Failed,Proposition 131,Implements a top-four nonpartisan primary; with ranked-choice voting for the general election for st,Failed
2024,District of Columbia,Citizens,Approved,Initiative 83,Allows independent voters to participate in partisan primaries and implements ranked-choice voting.,Approved
2024,Idaho,Legislature,Approved,Citizenship Requirement for Voting,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,Citizens,Failed,Proposition 1,Implements a top-four nonpartisan primary; with ranked-choice voting for the general election for st,69.6%-30.4%,Failed
2024,Kentucky,Legislature,Approved,Amendment 1,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,Missouri,Legislature,Approved,Amendment 7,"Prohibits state and local governments from allowing non-citizens to vote , and ban ranked-choice vot",Approved
2024,Montana,Citizens,Failed,CI-126,Implements top-four primaries for state and federal offices.,Failed
2024,Citizens,Failed,CI-127,Requires the state to adopt an election system where the winner must receive a majority of the vote.,60.4-39.6,Failed
2024,Nevada,Citizens,Failed,Question 3,Implements a top-five nonpartisan primary; with ranked-choice voting for the general election for st,Failed
2024,North Carolina,Legislature,Approved,Citizenship Requirement for Voting,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,Oklahoma,Legislature,Approved,State Question 834,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,Oregon,Legislature,Failed,Measure 117,Implements ranked-choice voting for primary and general elections for statewide executive and federa,Failed
2024,South Carolina,Legislature,Approved,Citizenship Requirement for Voting,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2024,South Dakota,Citizens,Failed,Amendment H,"Implements top-two primaries for state, county, and federal offices.",Failed
2024,Wisconsin,Legislature,Approved,Citizenship Voting Requirement,Prohibits state and local governments from allowing non-citizens to vote .,Approved
2022,Amendment 1,Legislatively-referred constitutional amendment,Authorize $85 Million in Bonds for Public Historical Sites and State Parks Amendment Sale and issuan,Passed,,Passed
2022,Alabama Question,Legislatively-referred constitutional amendment,Alabama Recompiled Constitution Ratification Question Ratify the Constitution of Alabama of 2022 tha,Passed,,Passed
2022,Amendment 1,Legislatively-referred constitutional amendment,Allow Denial of Bail for Offenses Enumerated by State Legislature Amendment Authorize the Legislatur,Passed,,Passed
2022,Amendment 2,Legislatively-referred constitutional amendment,Broadband Internet Infrastructure Funding Amendment Allow state and local governments to fund the pr,Passed,,Passed
2022,Amendment 3,Legislatively-referred constitutional amendment,Notice to Victim's Family Required for Commutation or Reprieve of Death Sentences Amendment Requires,Passed,,Passed
2022,Amendment 4,Legislatively-referred constitutional amendment,Prohibit Changes to Election Conduct Laws within Six Months of General Elections Amendment Require a,Passed,,Passed
2022,Amendment 5,Legislatively-referred constitutional amendment,Remove Orphans' Business from Probate Court Jurisdiction Amendment Remove orphans' businesses from t,Passed,,Passed
2022,Amendment 6,Legislatively-referred constitutional amendment,Authorize Certain Cities to Use Special Property Tax Revenue to Pay for Capital Improvements Directl,Passed,,Passed
2022,Amendment 7,Legislatively-referred constitutional amendment,Local Economic and Industrial Development Bonds and Financing Amendment Change the requirement for l,Passed,,Passed
2022,Amendment 8,Legislatively-referred constitutional amendment,Public Service Commission to Regulate Private Sewer Systems in Shelby County Amendment Provide that ,Passed,,Passed
2022,Amendment 9,Legislatively-referred constitutional amendment,Public Service Commission to Regulate Private Sewer System in Lake View Amendment Provide that the S,Passed,,Passed
2022,Amendment 10,Legislatively-referred constitutional amendment,Incorporate Voter-Approved Amendments in New State Constitution Measure Authorize the Code Commissio,Passed,,Incorporate Voter-Approved Amendments in New State Constitution Measure Authorize the Code Commissio
2022,Ballot Measure 1,Automatic ballot referral,Constitutional Convention Question Hold a state constitutional convention,Failed,,Failed
2022,Proposition 128,Legislatively-referred constitutional amendment,Legislative Changes to Ballot Initiatives with Invalid Provisions Amendment Allow the Legislature to,Failed,,Failed
2022,Proposition 129,Legislatively-referred constitutional amendment,Single-Subject Requirement for Ballot Initiatives Amendment Limits citizen-initiated ballot measures,Passed,,Passed
2022,Proposition 130,Legislatively-referred constitutional amendment,Arizona Property Tax Exemptions Amendment Allows the Legislature to determine property tax exemption,Passed,,Passed
2022,Proposition 131,Legislatively-referred constitutional amendment,"Create Office of Lieutenant Governor Amendment Creates a new office of Lieutenant Governor , which i",Passed,,Passed
